date,latitude,cloud_type,rh_percent,temperature_c,solar_energy_kwh_m2,predicted_liters_per_day
2025-02-20,43.6532,9.0,65.0,12.0,2.397347427171177,2.1070699840184552
2025-02-20,43.6532,10.0,65.0,12.0,2.397347427171177,2.1070699840184552
2025-02-25,43.6532,0.0,65.0,12.0,4.356421023304376,3.6802060817134143
2025-02-25,43.6532,1.0,65.0,12.0,4.348576330208468,3.6739067931574
2025-02-25,43.6532,2.0,65.0,12.0,2.714837945751101,2.3620148704381343
2025-02-25,43.6532,3.0,65.0,12.0,2.6991340149122296,2.3494046139745204
2025-02-25,43.6532,4.0,65.0,12.0,1.9710273588312683,1.7647349691415084
2025-02-25,43.6532,5.0,65.0,12.0,1.9710273588312683,1.7647349691415084
2025-02-25,43.6532,6.0,65.0,12.0,1.8281312792864122,1.649989417266989
2025-02-25,43.6532,7.0,65.0,12.0,2.494424661954189,2.185023003549214
2025-02-25,43.6532,8.0,65.0,12.0,2.504867766573985,2.19340881655891
2025-02-25,43.6532,9.0,65.0,12.0,2.482566584962893,2.1755009677252035
2025-02-25,43.6532,10.0,65.0,12.0,2.482566584962893,2.1755009677252035
2025-03-02,43.6532,0.0,65.0,12.0,4.650346707116504,3.916228405814553
2025-03-02,43.6532,1.0,65.0,12.0,4.64533956033985,3.9122076669528996
2025-03-02,43.6532,2.0,65.0,12.0,2.9235805946036035,2.529635217466694
2025-03-02,43.6532,3.0,65.0,12.0,2.9032078445028864,2.513275899135818
2025-03-02,43.6532,4.0,65.0,12.0,1.9630899539659818,1.7583612330346834
2025-03-02,43.6532,5.0,65.0,12.0,1.9630899539659818,1.7583612330346834
2025-03-02,43.6532,6.0,65.0,12.0,1.800570596459007,1.6278581889565826
2025-03-02,43.6532,7.0,65.0,12.0,2.724517485314699,2.3697875407077036
2025-03-02,43.6532,8.0,65.0,12.0,2.728228261182182,2.3727672937292925
2025-03-02,43.6532,9.0,65.0,12.0,2.707822618688652,2.3563815628069875
2025-03-02,43.6532,10.0,65.0,12.0,2.7078226186886534,2.356381562806989
2025-03-07,43.6532,0.0,65.0,12.0,4.981959478830373,4.182513461500791
2025-03-07,43.6532,1.0,65.0,12.0,4.977141769423122,4.178644840846768
2025-03-07,43.6532,2.0,65.0,12.0,3.149931950230578,2.7113953560351542
2025-03-07,43.6532,3.0,65.0,12.0,3.151567688027807,2.7127088534863293
2025-03-07,43.6532,4.0,65.0,12.0,2.1815288988176227,1.9337677057505511
2025-03-07,43.6532,5.0,65.0,12.0,2.1815288988176227,1.9337677057505511
2025-03-07,43.6532,6.0,65.0,12.0,1.9836869955694094,1.7749006574422357
2025-03-07,43.6532,7.0,65.0,12.0,2.928372264996803,2.533482928792433
2025-03-07,43.6532,8.0,65.0,12.0,2.9383317567415714,2.541480400663482
2025-03-07,43.6532,9.0,65.0,12.0,2.9191418242305556,2.5260708848571363
2025-03-07,43.6532,10.0,65.0,12.0,2.9191418242305556,2.5260708848571363
2025-03-12,43.6532,0.0,65.0,12.0,5.267448147198749,4.411760862200596
2025-03-12,43.6532,1.0,65.0,12.0,5.263621974562511,4.408688445573697
2025-03-12,43.6532,2.0,65.0,12.0,3.310835068377519,2.840600559907148
2025-03-12,43.6532,3.0,65.0,12.0,3.2665682011935067,2.805054265558386
2025-03-12,43.6532,4.0,65.0,12.0,2.2989563511277065,2.0280619499555486
2025-03-12,43.6532,5.0,65.0,12.0,2.2989563511277065,2.0280619499555486
2025-03-12,43.6532,6.0,65.0,12.0,2.0754401279522887,1.8485784227456878
2025-03-12,43.6532,7.0,65.0,12.0,3.1208122914047682,2.688012269998029
2025-03-12,43.6532,8.0,65.0,12.0,3.1332422690988504,2.697993542086377
2025-03-12,43.6532,9.0,65.0,12.0,3.1129109823848142,2.681667518855006
2025-03-12,43.6532,10.0,65.0,12.0,3.1129109823848142,2.681667518855006
2025-03-17,43.6532,0.0,65.0,12.0,5.564534342530235,4.65032107705178
2025-03-17,43.6532,1.0,65.0,12.0,5.560332760222134,4.646947206458374
2025-03-17,43.6532,2.0,65.0,12.0,3.670571724665836,3.1294690949066664
2025-03-17,43.6532,3.0,65.0,12.0,3.354462339271613,2.8756332584351054
2025-03-17,43.6532,4.0,65.0,12.0,2.416905966683406,2.122775491246775
2025-03-17,43.6532,5.0,65.0,12.0,2.416905966683406,2.122775491246775
2025-03-17,43.6532,6.0,65.0,12.0,2.19129553381079,1.9416103136500644
2025-03-17,43.6532,7.0,65.0,12.0,3.1023150994467796,2.673159024855764
2025-03-17,43.6532,8.0,65.0,12.0,3.1463601098209533,2.7085271681862255
2025-03-17,43.6532,9.0,65.0,12.0,3.1264863689817797,2.692568554292369
2025-03-17,43.6532,10.0,65.0,12.0,3.1264863689817797,2.692568554292369
2025-03-22,43.6532,0.0,65.0,12.0,5.8348941656307405,4.8674200150014855
2025-03-22,43.6532,1.0,65.0,12.0,5.8304893790214285,4.863882971354208
2025-03-22,43.6532,2.0,65.0,12.0,3.8777524401980887,3.2958352094790655
2025-03-22,43.6532,3.0,65.0,12.0,3.3572139126382745,2.8778427718485347
2025-03-22,43.6532,4.0,65.0,12.0,2.4764196191004073,2.1705649541376273
2025-03-22,43.6532,5.0,65.0,12.0,2.4764196191004078,2.1705649541376277
2025-03-22,43.6532,6.0,65.0,12.0,2.346512796734397,2.0662497757777207
2025-03-22,43.6532,7.0,65.0,12.0,3.18584626847363,2.740234553584325
2025-03-22,43.6532,8.0,65.0,12.0,3.228970928598148,2.774863655664313
2025-03-22,43.6532,9.0,65.0,12.0,3.209172764135441,2.7589657296007593
2025-03-22,43.6532,10.0,65.0,12.0,3.209172764135441,2.7589657296007593
2025-03-27,43.6532,0.0,65.0,12.0,6.135106321867288,5.108490376459433
2025-03-27,43.6532,1.0,65.0,12.0,6.130655609623327,5.104916454527532
2025-03-27,43.6532,2.0,65.0,12.0,4.123684063072686,3.4933183026473666
2025-03-27,43.6532,3.0,65.0,12.0,3.6109448571371687,3.0815887202811467
2025-03-27,43.6532,4.0,65.0,12.0,2.8071547793369303,2.436145287807555
2025-03-27,43.6532,5.0,65.0,12.0,2.8071547793369303,2.436145287807555
2025-03-27,43.6532,6.0,65.0,12.0,2.657156244720053,2.3156964645102027
2025-03-27,43.6532,7.0,65.0,12.0,3.506808214744901,2.9979669964401556
2025-03-27,43.6532,8.0,65.0,12.0,3.520768103981635,3.0091767874972533
2025-03-27,43.6532,9.0,65.0,12.0,3.5018170083458133,2.993959057701688
2025-03-27,43.6532,10.0,65.0,12.0,3.5018170083458133,2.993959057701688
2025-04-01,43.6532,0.0,65.0,12.0,6.353471652563364,5.283837737008382
2025-04-01,43.6532,1.0,65.0,12.0,6.34996830547278,5.281024549294643
2025-04-01,43.6532,2.0,65.0,12.0,4.4271841921518655,3.7370289062979483
2025-04-01,43.6532,3.0,65.0,12.0,3.4430065951184554,2.9467342958801197
2025-04-01,43.6532,4.0,65.0,12.0,2.698532230951254,2.3489213814538568
2025-04-01,43.6532,5.0,65.0,12.0,2.698532230951254,2.3489213814538568
2025-04-01,43.6532,6.0,65.0,12.0,2.581921826712847,2.255283226850416
2025-04-01,43.6532,7.0,65.0,12.0,3.259223561618341,2.799156519979528
2025-04-01,43.6532,8.0,65.0,12.0,3.273665080942665,2.81075305999696
2025-04-01,43.6532,9.0,65.0,12.0,3.2564136083067834,2.796900127470347
2025-04-01,43.6532,10.0,65.0,12.0,3.2564136083067834,2.796900127470347
2025-04-06,43.6532,0.0,65.0,12.0,6.647990297275996,5.520336208712625
2025-04-06,43.6532,1.0,65.0,12.0,6.644667044016481,5.5176676363452355
2025-04-06,43.6532,2.0,65.0,12.0,4.6786851078477,3.9389841416017033
2025-04-06,43.6532,3.0,65.0,12.0,3.5945736810450737,3.068442665879194
2025-04-06,43.6532,4.0,65.0,12.0,2.8837788744468114,2.4976744361807897
2025-04-06,43.6532,5.0,65.0,12.0,2.883778874446811,2.497674436180789
2025-04-06,43.6532,6.0,65.0,12.0,2.7582039774286993,2.3968377938752456
2025-04-06,43.6532,7.0,65.0,12.0,3.4840161962445513,2.979665005584375
2025-04-06,43.6532,8.0,65.0,12.0,3.4882152749623954,2.9830368657948036
2025-04-06,43.6532,9.0,65.0,12.0,3.469043131914596,2.9676416349274204
2025-04-06,43.6532,10.0,65.0,12.0,3.469043131914596,2.9676416349274204
2025-04-11,43.6532,0.0,65.0,12.0,6.94360687489318,5.757716320539224
2025-04-11,43.6532,1.0,65.0,12.0,6.940182815182862,5.754966800591839
2025-04-11,43.6532,2.0,65.0,12.0,4.991547516253625,4.190212655551662
2025-04-11,43.6532,3.0,65.0,12.0,3.650446149025179,3.1133082576672186
2025-04-11,43.6532,4.0,65.0,12.0,3.0271679490682493,2.612815863101804
2025-04-11,43.6532,5.0,65.0,12.0,3.0271679490682484,2.6128158631018037
2025-04-11,43.6532,6.0,65.0,12.0,2.8927265121300954,2.5048593892404667
2025-04-11,43.6532,7.0,65.0,12.0,3.6319579381951086,3.0984622243706723
2025-04-11,43.6532,8.0,65.0,12.0,3.641411920905193,3.10605377248687
2025-04-11,43.6532,9.0,65.0,12.0,3.621692903737334,3.0902194017010793
2025-04-11,43.6532,10.0,65.0,12.0,3.6216929037373338,3.0902194017010793
2025-04-16,43.6532,0.0,65.0,12.0,7.209873073420073,5.971528077956319
2025-04-16,43.6532,1.0,65.0,12.0,7.206381276771315,5.968724165247367
2025-04-16,43.6532,2.0,65.0,12.0,5.210941029991502,4.366385647083177
2025-04-16,43.6532,3.0,65.0,12.0,3.8122974725452403,3.243274870453828
2025-04-16,43.6532,4.0,65.0,12.0,3.1103509430315714,2.6796118072543518
2025-04-16,43.6532,5.0,65.0,12.0,3.1103509430315714,2.6796118072543518
2025-04-16,43.6532,6.0,65.0,12.0,2.9208712217571726,2.52745959107101
2025-04-16,43.6532,7.0,65.0,12.0,3.5887066255611946,3.0637314203256394
2025-04-16,43.6532,8.0,65.0,12.0,3.614539653113593,3.0844753414502155
2025-04-16,43.6532,9.0,65.0,12.0,3.595337625557735,3.0690561133228615
2025-04-16,43.6532,10.0,65.0,12.0,3.595337625557735,3.0690561133228615
2025-04-21,43.6532,0.0,65.0,12.0,7.477130144053819,6.186135505675217
2025-04-21,43.6532,1.0,65.0,12.0,7.473504211774989,6.183223882055317
2025-04-21,43.6532,2.0,65.0,12.0,5.312168299519604,4.447671144514242
2025-04-21,43.6532,3.0,65.0,12.0,3.7100268139431463,3.1611515315963468
2025-04-21,43.6532,4.0,65.0,12.0,2.9854216979033104,2.5792936234163584
2025-04-21,43.6532,5.0,65.0,12.0,2.9854216979033104,2.5792936234163584
2025-04-21,43.6532,6.0,65.0,12.0,2.906309683724693,2.5157666760309287
